code,description,mdc,adrg
A26.8,Other forms of erysipeloid,18,T64
A26.9,Erysipeloid unspecified,18,T64
A27.0,Leptospirosis icterohaemorrhagica,18,T64
A27.8,Other forms of leptospirosis,01,B72
A27.9,Leptospirosis unspecified,18,T64
A28.00,Pasteurellosis not elsewhere classified,18,T64
A28.01,Sepsis due to Pasteurella NEC,18,T60
A28.1,Cat-scratch disease,16,Q60
A28.20,Extraintestinal yersiniosis NEC,18,T64
A28.21,Sepsis dt extraintestinal yersiniosis,18,T60
A28.8,Other spec zoonotic bacterial dis NEC,18,T64
A28.9,Zoonotic bacterial disease unspecified,18,T64
A30.0,Indeterminate leprosy,18,T64
A30.1,Tuberculoid leprosy,18,T64
A30.2,Borderline tuberculoid leprosy,18,T64
A30.3,Borderline leprosy,18,T64
A30.4,Borderline lepromatous leprosy,18,T64
A30.5,Lepromatous leprosy,18,T64
A30.8,Other forms of leprosy,18,T64
A30.9,Leprosy unspecified,18,T64
A31.0,Pulmonary mycobacterial infection,04,E62
A31.1,Cutaneous mycobacterial infection,09,J68
A31.8,Other mycobacterial infections,18,T64
A31.9,Mycobacterial infection unspecified,18,T64
A32.0,Cutaneous listeriosis,18,T64
A32.1,Listerial meningitis meningoencephalitis,18,T64
A32.7,Sepsis due to Listeria monocytogenes,18,T64
A32.8,Other forms of listeriosis,18,T64
A32.9,Listeriosis unspecified,18,T64
A33,Tetanus neonatorum,18,T64
A34,Obstetrical tetanus,14,O66
A35,Other tetanus,18,T64
A36.0,Pharyngeal diphtheria,03,D66
A36.1,Nasopharyngeal diphtheria,03,D66
A36.2,Laryngeal diphtheria,03,D66
A36.3,Cutaneous diphtheria,09,J68
A36.8,Other diphtheria,18,T64
A36.9,Diphtheria unspecified,18,T64
A37.0,Whooping cough dt Bordetella pertussis,04,E70
A37.1,Whooping cough dt Bordetella parapertuss,04,E70
A37.8,Whooping cough dt oth Bordetella species,04,E70
A37.9,Whooping cough unspecified,04,E70
A38,Scarlet fever,18,T64
A39.0,Meningococcal meningitis,01,B72
A39.1,Waterhouse-Friderichsen syndrome,18,T60
A39.2,Acute meningococcaemia,18,T60
A39.3,Chronic meningococcaemia,18,T60
A39.4,Meningococcaemia unspecified,18,T60
A39.5,Meningococcal heart disease,05,F75
A39.7,Sepsis due to Meningococcus,18,T60
A39.8,Other meningococcal infections,18,T60
A39.9,Meningococcal infection unspecified,18,T60
A40.0,Sepsis dt Streptococcus group A,18,T60
A40.1,Sepsis dt Streptococcus group B,18,T60
A40.21,Sepsis due to Streptococcus group D,18,T60
A40.22,Sepsis due to Enterococcus,18,T60
A40.3,Sepsis dt Streptococcus pneumoniae,18,T60
A40.8,Other streptococcal sepsis,18,T60
A40.9,Streptococcal sepsis unspecified,18,T60
A41.0,Sepsis due to Staphylococcus aureus,18,T60
A41.1,Sepsis dt other spec Staphylococcus,18,T60
A41.2,Sepsis due to unsp Staphylococcus,18,T60
A41.3,Sepsis dt Haemophilus influenzae,18,T60
A41.4,Sepsis due to anaerobes,18,T60
A41.50,Sepsis dt unsp Gram neg organisms,18,T60
A41.51,Sepsis dt Escherichia coli [E coli],18,T60
A41.52,Sepsis due to Pseudomonas,18,T60
A41.58,Sepsis dt other gram neg organisms,18,T60
A41.8,Sepsis due to other specified organism,18,T60
A41.9,"Sepsis, unspecified",18,T60
A42.0,Pulmonary actinomycosis,04,E62
A42.1,Abdominal actinomycosis,06,G70
A42.2,Cervicofacial actinomycosis,09,J68
A42.7,Sepsis due to actinomycosis,18,T64
A42.8,Other forms of actinomycosis,18,T64
A42.9,Actinomycosis unspecified,18,T64
A43.0,Pulmonary nocardiosis,04,E62
A43.1,Cutaneous nocardiosis,09,J68
A43.8,Other forms of nocardiosis,18,T64
A43.9,Nocardiosis unspecified,18,T64
A44.0,Systemic bartonellosis,18,T64
A44.1,Cutaneous & mucocutaneous bartonellosis,18,T64
A44.8,Other forms of bartonellosis,18,T64
A44.9,Bartonellosis unspecified,18,T64
A46,Erysipelas,09,J64
A48.0,Gas gangrene,18,T64
A48.1,Legionnaires' disease,04,E62
A48.2,Nonpneumonic Legionnaires' disease,04,E62
A48.3,Toxic shock syndrome,18,T64
A48.4,Brazilian purpuric fever,18,T64
A48.8,Other specified bacterial diseases,18,T64
A49.00,Staphylococcal infection unspecified,18,T64
A49.01,Staphylococcus aureus infection unsp,18,T64
A49.11,Streptococcal infection unspecified site,18,T64
A49.12,Enterococcal infection unspecified site,18,T64
A49.2,Haemophilus influenzae infectn unsp site,18,T64
A49.3,Mycoplasma infection unsp site,18,T64
A49.81,Bacteroides fragilis infectn unsp site,18,T64
A49.82,Burkholderia infectn NEC unsp site,18,T64
A49.83,Campylobacter infectn unspecified site,18,T64
A49.84,Escherichia coli infection unsp site,18,T64
A49.85,K.pneumoniae infection unspecified site,18,T64
A49.86,Proteus Morganella & Providencia ? site,18,T64
A49.87,Pseudomonas infection unspecified site,18,T64
A49.89,Other bacterial infectn unspecified site,18,T64
A49.9,Bacterial infection unspecified,18,T64
A50.0,Early congenital syphilis symptomatic,18,T64
A50.1,Early congenital syphilis latent,18,T64
A50.2,Early congenital syphilis unspecified,18,T64
A50.3,Late congenital syphilitic oculopathy,02,C60
A50.4,Late congenital (juvenile) neurosyphilis,01,B72
A50.5,Other late cong syphilis symptomatic,18,T64
A50.6,Late congenital syphilis latent,18,T64
A50.7,Late congenital syphilis unspecified,18,T64
A50.9,Congenital syphilis unspecified,18,T64
A51.0,Primary genital syphilis,18,T64
A51.1,Primary anal syphilis,06,G70
A51.2,Primary syphilis of other sites,18,T64
A51.3,Sec syphilis of skin & mucous membranes,09,J68
A51.4,Other secondary syphilis,18,T64
A51.5,Early syphilis latent,18,T64
A51.9,Early syphilis unspecified,18,T64
A52.0,Cardiovascular syphilis,05,F75
A52.1,Symptomatic neurosyphilis,01,B67
A52.2,Asymptomatic neurosyphilis,01,B72
A52.3,Neurosyphilis unspecified,01,B67
A52.7,Other symptomatic late syphilis,18,T64
A52.8,Late syphilis latent,18,T64
A52.9,Late syphilis unspecified,18,T64
A53.0,Latent syphilis unsp as early or late,18,T64
A53.9,Syphilis unspecified,18,T64
A54.0,Low GU gon infectn wo abs acc periur gld,18,T64
A54.1,Low GU gon infectn w abs acc periur gld,18,T64
A54.2,Gon pelviperitonitis & oth gon GU infect,18,T64
A54.3,Gonococcal infection of eye,02,C60
A54.4,Gonococcal infectn musculoskeletal sys,08,I12
A54.4,Gonococcal infectn musculoskeletal sys,08,I67
A54.5,Gonococcal pharyngitis,03,D63
A54.6,Gonococcal infection of anus and rectum,06,G70
A54.7,Sepsis due to Gonococcus,18,T60
A54.8,Other gonococcal infections,18,T64
A54.9,Gonococcal infection unspecified,18,T64
A55,Chlamydial lymphogranuloma (venereum),18,T64
A56.0,Chlamydial infection lower GU tract,18,T64
A56.1,Chlamydial infectn pelviperit oth GU org,18,T64
A56.2,Chlamydial infectn GU tract unspecified,18,T64
A56.3,Chlamydial infection of anus and rectum,06,G70
A56.4,Chlamydial infection of pharynx,03,D63
A56.8,Sex trans chlamydial infectn other sites,18,T64
A57,Chancroid,18,T64
A58,Granuloma inguinale,18,T64
A59.0,Urogenital trichomoniasis,18,T64
A59.8,Trichomoniasis of other sites,18,T64
A59.9,Trichomoniasis unspecified,18,T64
A60.0,Herpesviral infectn genitalia & GU tract,18,T63
A60.1,Herpesviral infectn perianal skin rectum,18,T63
A60.9,Anogenital herpesviral infection unsp,18,T63
A63.00,Anogen (venereal) warts unspecified site,09,J67
A63.01,Perianal (venereal) warts,09,J67
A63.02,Cervical (venereal) warts,09,J67
A63.03,Urethral (venereal) warts,09,J67
A63.04,Vaginal (venereal) warts,09,J67
A63.05,Vulval (venereal) warts,09,J67
A63.06,Penile (venereal) warts,09,J67
A63.07,Scrotal (venereal) warts,09,J67
A63.09,Anogen (venereal) warts other site,09,J67
A63.8,Other spec predom sexually trans disease,18,T64
A64,Unspecified sexually transmitted disease,18,T64
A65,Nonvenereal syphilis,18,T64
A66.0,Initial lesions of yaws,09,J67
A66.1,Multiple papillomata and wet crab yaws,09,J67
A66.2,Other early skin lesions of yaws,09,J68
A66.3,Hyperkeratosis of yaws,09,J68
A66.4,Gummata and ulcers of yaws,09,J68
A66.5,Gangosa,03,D66
A66.6,Bone and joint lesions of yaws,08,I12
A66.6,Bone and joint lesions of yaws,08,I67
A66.7,Other manifestations of yaws,18,T64
A66.8,Latent yaws,18,T64
A66.9,Yaws unspecified,18,T64
A67.0,Primary lesions of pinta,09,J67
A67.1,Intermediate lesions of pinta,09,J67
A67.2,Late lesions of pinta,18,T64
A67.3,Mixed lesions of pinta,09,J67
A67.9,Pinta unspecified,18,T64
A68.0,Louse-borne relapsing fever,18,T64
A68.1,Tick-borne relapsing fever,18,T64
A68.9,Relapsing fever unspecified,18,T64
A69.0,Necrotising ulcerative stomatitis,03,D63
A69.1,Other Vincent's infections,03,D63
A69.2,Lyme disease,18,T64
A69.8,Other specified spirochaetal infections,18,T64
A69.9,Spirochaetal infection unspecified,18,T64
A70,Chlamydia psittaci infection,18,T64
A71.0,Initial stage of trachoma,02,C60
A71.1,Active stage of trachoma,02,C60
A71.9,Trachoma unspecified,02,C60
A74.0,Chlamydial conjunctivitis,02,C63
A74.8,Other chlamydial diseases,18,T64
A74.9,Chlamydial infection unspecified,18,T64
A75.0,Epi louse typhus dt Rickettsia prowazeki,18,T64
A75.1,Recrudescent typhus [Brill's disease],18,T64
A75.2,Typhus fever due to Rickettsia typhi,18,T64
A75.3,Typhus fever dt Rickettsia tsutsugamushi,18,T64
A75.9,Typhus fever unspecified,18,T64
A77.0,Spotted fever dt Rickettsia rickettsii,18,T64
A77.1,Spotted fever due to Rickettsia conorii,18,T64
A77.2,Spotted fever due to Rickettsia siberica,18,T64
A77.3,Spotted fever dt Rickettsia australis,18,T64
A77.8,Other spotted fevers,18,T64
A77.9,Spotted fever unspecified,18,T64
A78,Q fever,18,T64
A79.0,Trench fever,18,T64
A79.1,Rickettsialpox due to Rickettsia akari,18,T64
A79.8,Other specified rickettsioses,18,T64
A79.9,Rickettsiosis unspecified,18,T64
A80.0,Ac paralytic poliomyelitis vaccine ass,01,B72
A80.1,Ac paralytic polio wild virus imported,01,B72
A80.2,Ac paralytic polio wild virus indigenous,01,B72
A80.3,Ac paralytic polio other & unsp,01,B72
A80.4,Acute nonparalytic poliomyelitis,18,T63
A80.9,Acute poliomyelitis unspecified,01,B72
A81.0,Creutzfeldt-Jakob disease,01,B67
A81.1,Subacute sclerosing panencephalitis,01,B67
A81.2,Progress multifocal leukoencephalopathy,01,B67
A81.8,Other atypical viral infections of CNS,01,B67
A81.9,Atypical virus infection of CNS unsp,01,B67
A82.0,Sylvatic rabies,01,B72
A82.1,Urban rabies,01,B72
A82.9,Rabies unspecified,01,B72
A83.0,Japanese encephalitis,01,B72
A83.1,Western equine encephalitis,01,B72
A83.2,Eastern equine encephalitis,01,B72
A83.3,St Louis encephalitis,01,B72
A83.4,Australian encephalitis,01,B72
A83.5,California encephalitis,01,B72
A83.6,Rocio virus disease,01,B72
A83.8,Other mosquito-borne viral encephalitis,01,B72
A83.9,Mosquito borne encephalitis unsp,01,B72
A84.0,Far Eastern tick-borne encephalitis,01,B72
A84.1,Central European tick-borne encephalitis,01,B72
A84.8,Other tick-borne viral encephalitis,01,B72
A84.9,Tick-borne encephalitis unsp,01,B72
A85.0,Enteroviral encephalitis,01,B72
A85.1,Adenoviral encephalitis,01,B72
A85.2,Arthropod-borne viral encephalitis unsp,01,B72
A85.8,Other specified viral encephalitis,01,B72
A86,Unspecified viral encephalitis,01,B72
A87.0,Enteroviral meningitis,01,B73
A87.1,Adenoviral meningitis,01,B73
A87.2,Lymphocytic choriomeningitis,01,B73
A87.8,Other viral meningitis,01,B73
A87.9,Viral meningitis unspecified,01,B73
A88.0,Enteroviral exanthematous fever,01,B72
A88.1,Epidemic vertigo,01,B81
A88.8,Other specified viral infections of CNS,01,B72
A89,Unspecified viral infection of CNS,01,B72
A92.0,Chikungunya virus disease,18,T63
A92.1,O'nyong-nyong fever,18,T63
A92.2,Venezuelan equine fever,01,B72
A92.3,West Nile virus infection,18,T63
A92.4,Rift Valley fever,18,T63
A92.5,Zika virus disease,18,T63
A92.8,Other spec mosquito-borne viral fevers,18,T63
A92.9,Mosquito-borne viral fever unspecified,18,T63
A93.0,Oropouche virus disease,18,T63
A93.1,Sandfly fever,18,T63
A93.2,Colorado tick fever,18,T63
A93.8,Other spec arthropod-borne viral fevers,18,T63
A94,Unspecified arthropod-borne viral fever,18,T63
A95.0,Sylvatic yellow fever,18,T63
A95.1,Urban yellow fever,18,T63
A95.9,Yellow fever unspecified,18,T63
A96.0,Junin haemorrhagic fever,18,T63
A96.1,Machupo haemorrhagic fever,18,T63
A96.2,Lassa fever,18,T63
A96.8,Other arenaviral haemorrhagic fevers,18,T63
A96.9,Arenaviral haemorrhagic fever unsp,18,T63
A97.0,Dengue without warning signs,18,T63
A97.1,Dengue with warning signs,18,T63
A97.2,Severe Dengue,18,T63
A97.9,Dengue unspecified,18,T63
A98.0,Crimean-Congo haemorrhagic fever,18,T63
A98.1,Omsk haemorrhagic fever,18,T63
A98.2,Kyasanur Forest disease,18,T63
A98.3,Marburg virus disease,18,T63
A98.4,Ebola virus disease,18,T63
A98.5,Haemorrhagic fever with renal syndrome,11,L63
A98.8,Other specified viral haemorrhagic fever,18,T63
A99,Unspecified viral haemorrhagic fever,18,T63
B00.0,Eczema herpeticum,09,J68
B00.1,Herpesviral vesicular dermatitis,18,T63
B00.2,Herpes gingivostomatis pharyngotonsillit,03,D40
B00.2,Herpes gingivostomatis pharyngotonsillit,03,D67
B00.3,Herpesviral meningitis,01,B73
B00.4,Herpesviral encephalitis,01,B72
B00.5,Herpesviral ocular disease,02,C60
B00.70,Disseminated herpesviral disease NEC,18,T60
B00.71,Sepsis due to herpesviral infection,18,T60
B00.8,Other forms of herpesviral infection,18,T63
B00.9,Herpesviral infection unspecified,09,J68
B01.0,Varicella meningitis,18,T63
B01.1,Varicella encephalitis,01,B72
B01.2,Varicella pneumonia,04,E62
B01.8,Varicella with other complications,18,T63
B01.9,Varicella without complication,18,T63
B02.0,Zoster encephalitis,01,B72
B02.1,Zoster meningitis,01,B73
B02.2,Zoster w oth nervous system involvement,01,B72
B02.3,Zoster ocular disease,02,C60
B02.7,Disseminated zoster,18,T63
B02.8,Zoster with other complications,18,T63
B02.9,Zoster without complication,09,J68
B03,Smallpox,18,T63
B04,Monkeypox,18,T63
B05.0,Measles complicated by encephalitis,01,B72
B05.1,Measles complicated by meningitis,01,B73
B05.2,Measles complicated by pneumonia,04,E62
B05.3,Measles complicated by otitis media,03,D63
B05.4,Measles with intestinal complications,18,T63
B05.8,Measles with other complications,18,T63
B05.9,Measles without complication,18,T63
B06.0,Rubella with neurological complications,01,B71
B06.8,Rubella with other complications,18,T63
B06.9,Rubella without complication,18,T63
B07,Viral warts,09,J67
B08.0,Other orthopoxvirus infections,18,T63
B08.1,Molluscum contagiosum,09,J67
B08.2,Exanthema subitum [sixth disease],18,T63
B08.3,Erythema infectiosum [fifth disease],18,T63
B08.4,Entervir vesicular stomatitis w exanthem,18,T63
B08.5,Enteroviral vesicular pharyngitis,03,D63
B08.8,Oth viral infections w skin & mucous lsn,18,T63
B09,Unsp viral infectn w skin & mucous lsn,18,T63
B15.0,Hepatitis A with hepatic coma,07,H63
B15.9,Hepatitis A without hepatic coma,07,H63
B16.0,Ac hep B w delta-agent w hepatic coma,07,H63
B16.1,Ac hep B w delta-agent wo hepatic coma,07,H63
B16.2,Ac hep B wo delta-agent w hepatic coma,07,H63
B16.9,Ac hep B wo delta-agent wo hepatic coma,07,H63
B17.0,Ac delta (super) infectn chr hep B,07,H63
B17.1,Acute hepatitis C,07,H63
B17.2,Acute hepatitis E,07,H63
B17.8,Other specified acute viral hepatitis,07,H63
B17.9,Acute viral hepatitis unspecified,07,H63
B18.0,Chronic viral hep B w delta agent,07,H63
B18.1,Chronic viral hep B wo delta agent,07,H63
B18.2,Chronic viral hepatitis C,07,H63
B18.8,Other chronic viral hepatitis,07,H63
B18.9,Chronic viral hepatitis unspecified,07,H63
B19.0,Unsp viral hepatitis with hepatic coma,07,H63
B19.9,Unsp viral hepatitis wo hepatic coma,07,H63
B20,HIV resulting in infect & parasitic dis,18,T64
B21,HIV resulting in malignant neoplasms,18,T64
B22,HIV resulting in other spec diseases,18,T64
B23.0,Acute HIV infection syndrome,18,T64
B23.8,HIV resulting in other spec conditions,18,T64
B24,Unspecified HIV disease,18,T64
B25.0,Cytomegaloviral pneumonitis,18,T63
B25.1,Cytomegaloviral hepatitis,18,T63
B25.2,Cytomegaloviral pancreatitis,18,T63
B25.8,Other cytomegaloviral diseases,18,T63
B25.9,Cytomegaloviral disease unspecified,18,T63
B26.0,Mumps orchitis,18,T63
B26.1,Mumps meningitis,01,B73
B26.2,Mumps encephalitis,01,B72
B26.3,Mumps pancreatitis,07,H62
B26.8,Mumps with other complications,18,T63
B26.9,Mumps without complication,18,T63
B27.0,Gammaherpesviral mononucleosis,18,T63
B27.1,Cytomegaloviral mononucleosis,18,T63
B27.8,Other infectious mononucleosis,18,T63
B27.9,Infectious mononucleosis unspecified,18,T63
B30.0,Keratoconjunctivitis dt adenovirus,02,C63
B30.1,Conjunctivitis dt adenovirus,02,C63
B30.2,Viral pharyngoconjunctivitis,02,C63
B30.3,Acute epidemic haem conjunctivitis,02,C63
B30.8,Other viral conjunctivitis,02,C63
B30.9,Viral conjunctivitis unspecified,02,C63
B33.0,Epidemic myalgia,04,E62
B33.1,Ross River disease,18,T63
B33.2,Viral carditis,05,F75
B33.3,Retrovirus infections NEC,18,T63
B33.4,Hantavirus (cardio-) pulmonary syndrome,18,T63
B33.8,Other specified viral diseases,18,T63
B34.0,Adenovirus infection unspecified site,18,T63
B34.1,Enterovirus infection unspecified site,18,T63
B34.2,Coronavirus infection unspecified site,18,T63
B34.3,Parvovirus infection unspecified site,18,T63
B34.4,Papovavirus infection unspecified site,18,T63
B34.8,Other viral infections of unsp site,18,T63
B34.9,Viral infection unspecified,18,T63
B35.0,Tinea barbae and tinea capitis,09,J67
B35.1,Tinea unguium,09,J67
B35.2,Tinea manuum,09,J67
B35.3,Tinea pedis,09,J12
B35.3,Tinea pedis,09,J13
B35.3,Tinea pedis,09,J67
B35.4,Tinea corporis,09,J67
B35.5,Tinea imbricata,09,J67
B35.6,Tinea inguinalis [tinea cruris],09,J67
B35.8,Other dermatophytoses,09,J67
B35.9,Dermatophytosis unspecified,09,J67
B36.0,Pityriasis versicolor,09,J67
B36.1,Tinea nigra,09,J67
B36.2,White piedra,09,J67
B36.3,Black piedra,09,J67
B36.8,Other specified superficial mycoses,09,J67
B36.9,Superficial mycosis unspecified,09,J67
B37.0,Candidal stomatitis,03,D40
B37.0,Candidal stomatitis,03,D67
B37.1,Pulmonary candidiasis,04,E62
B37.2,Candidiasis of skin and nail,09,J67
B37.3,Candidiasis of vulva and vagina,18,T64
B37.4,Candidiasis of other urogenital sites,18,T64
B37.5,Candidal meningitis,01,B72
B37.6,Candidal endocarditis,05,F61
B37.7,Sepsis due to Candida,18,T64
B37.81,Candidal oesophagitis,06,G67
B37.82,Candida albicans,00,961
B37.83,Candida auris,00,961
B37.89,Candidiasis of other sites,18,T64
B37.9,Candidiasis unspecified site,18,T64
B38.0,Acute pulmonary coccidioidomycosis,04,E62
B38.1,Chronic pulmonary coccidioidomycosis,18,T64
B38.2,Pulmonary coccidioidomycosis unsp,18,T64
B38.3,Cutaneous coccidioidomycosis,09,J68
B38.4,Coccidioidomycosis meningitis,01,B72
B38.7,Disseminated coccidioidomycosis,18,T64
B38.8,Other forms of coccidioidomycosis,18,T64
B38.9,Coccidioidomycosis unspecified,18,T64
B39.0,Acute pulmonary histoplasmosis capsulati,04,E74
B39.1,Chr pulmonary histoplasmosis capsulati,04,E74
B39.2,Pulmonary histoplasmosis capsulati unsp,04,E74
B39.3,Disseminated histoplasmosis capsulati,18,T64
B39.4,Histoplasmosis capsulati unspecified,18,T64
B39.5,Histoplasmosis duboisii,18,T64
B39.9,Histoplasmosis unspecified,18,T64
B40.0,Acute pulmonary blastomycosis,18,T64
B40.1,Chronic pulmonary blastomycosis,18,T64
B40.2,Pulmonary blastomycosis unspecified,18,T64
B40.3,Cutaneous blastomycosis,18,T64
B40.7,Disseminated blastomycosis,18,T64
B40.8,Other forms of blastomycosis,18,T64
B40.9,Blastomycosis unspecified,18,T64
B41.0,Pulmonary paracoccidioidomycosis,18,T64
B41.7,Disseminated paracoccidioidomycosis,18,T64
B41.8,Other forms of paracoccidioidomycosis,18,T64
B41.9,Paracoccidioidomycosis unspecified,18,T64
B42.0,Pulmonary sporotrichosis,18,T64
B42.1,Lymphocutaneous sporotrichosis,18,T64
B42.7,Disseminated sporotrichosis,18,T64
B42.8,Other forms of sporotrichosis,18,T64
B42.9,Sporotrichosis unspecified,18,T64
B43.0,Cutaneous chromomycosis,18,T64
B43.1,Phaeomycotic brain abscess,18,T64
B43.2,Subcutaneous phaeomycotic abscess & cyst,18,T64
B43.8,Other forms of chromomycosis,18,T64
B43.9,Chromomycosis unspecified,18,T64
B44.0,Invasive pulmonary aspergillosis,18,T64
B44.1,Other pulmonary aspergillosis,18,T64
B44.2,Tonsillar aspergillosis,18,T64
