code,description,mdc,adrg
13706-92,HSCT no donor type peripheral blood,17,R05
13706-99,HSCT no donor type stem cells NEC,17,R05
13750-00,Therapeutic plasmapheresis,01,B40
13839-01,Petrosal sampling,01,B02
13839-01,Petrosal sampling,10,K09
13839-01,Petrosal sampling,17,R01
13839-01,Petrosal sampling,17,R02
13839-01,Petrosal sampling,21A,W04
13839-01,Petrosal sampling,21B,X06
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,01,B42
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,04,E40
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,05,F40
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,18,T40
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,21A,W01
13882-01,Mgmt contin ventilatry sup > 24 < 96 hr,21B,X40
13882-02,Mgmt contin ventilatory sup >= 96 hours,00,A13
13882-02,Mgmt contin ventilatory sup >= 96 hours,00,A14
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,P01
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,P03
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,P04
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,P05
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,P06
13882-02,Mgmt contin ventilatory sup >= 96 hours,15,~P60
13882-02,Mgmt contin ventilatory sup >= 96 hours,21A,W01
13882-02,Mgmt contin ventilatory sup >= 96 hours,22,Y01
14100-00,Laser photcoag continuous blood vessels,09,J11
14106-00,Laser photcoag pulsed vasc lesion,09,J11
14203-01,Direct living tissue implantation,08,I12
14203-01,Direct living tissue implantation,08,I27
14203-01,Direct living tissue implantation,10,K09
14206-01,Living tissue implantation by cannula,10,K03
14206-01,Living tissue implantation by cannula,21A,W04
14206-01,Living tissue implantation by cannula,21B,X06
14224-00,Electroconvulsive Rx unsp lat unsp u/b,19,U40
14224-01,Electroconvulsive therapy unsp lat u/b,19,U40
14224-02,Electroconvulsive therapy uni unsp u/b,19,U40
14224-03,Electroconvulsive therapy uni u/b,19,U40
14224-04,Electroconvulsive therapy bil unsp u/b,19,U40
14224-05,Electroconvulsive therapy bil u/b,19,U40
14224-06,Electroconvulsive therapy 21 or more Rx,19,U40
15303-00,Brachytherapy IU low dose rate,13,N09
15304-00,Brachythrpy intrauterine high dose rate,13,N09
15311-00,Brachytherapy intravaginal low dose rate,13,N09
15312-00,Brachythrpy intravaginal high dose rate,13,N09
15319-00,Brachytherapy IU & intravaginal low dose,13,N09
15320-00,Brachytherapy IU & intravaginal high ds,13,N09
15327-00,Brachythrpy impl remv sgl plane low dose,01,B06
15327-00,Brachythrpy impl remv sgl plane low dose,01,B07
15327-00,Brachythrpy impl remv sgl plane low dose,03,D12
15327-00,Brachythrpy impl remv sgl plane low dose,04,E02
15327-00,Brachythrpy impl remv sgl plane low dose,06,G12
15327-00,Brachythrpy impl remv sgl plane low dose,09,J11
15327-00,Brachythrpy impl remv sgl plane low dose,09,J12
15327-00,Brachythrpy impl remv sgl plane low dose,09,J13
15327-00,Brachythrpy impl remv sgl plane low dose,10,K09
15327-00,Brachythrpy impl remv sgl plane low dose,11,L09
15327-00,Brachythrpy impl remv sgl plane low dose,12,M06
15327-00,Brachythrpy impl remv sgl plane low dose,13,N09
15327-01,Brachythrpy impl remv sgl plane pulsd ds,01,B06
15327-01,Brachythrpy impl remv sgl plane pulsd ds,01,B07
15327-01,Brachythrpy impl remv sgl plane pulsd ds,03,D12
15327-01,Brachythrpy impl remv sgl plane pulsd ds,04,E02
15327-01,Brachythrpy impl remv sgl plane pulsd ds,06,G12
15327-01,Brachythrpy impl remv sgl plane pulsd ds,09,J11
15327-01,Brachythrpy impl remv sgl plane pulsd ds,09,J12
15327-01,Brachythrpy impl remv sgl plane pulsd ds,09,J13
15327-01,Brachythrpy impl remv sgl plane pulsd ds,10,K09
15327-01,Brachythrpy impl remv sgl plane pulsd ds,11,L09
15327-01,Brachythrpy impl remv sgl plane pulsd ds,12,M06
15327-01,Brachythrpy impl remv sgl plane pulsd ds,13,N09
15327-02,Brachythrpy impl mult plane/vol low dose,01,B06
15327-02,Brachythrpy impl mult plane/vol low dose,01,B07
15327-02,Brachythrpy impl mult plane/vol low dose,03,D12
15327-02,Brachythrpy impl mult plane/vol low dose,04,E02
15327-02,Brachythrpy impl mult plane/vol low dose,06,G12
15327-02,Brachythrpy impl mult plane/vol low dose,09,J11
15327-02,Brachythrpy impl mult plane/vol low dose,09,J12
15327-02,Brachythrpy impl mult plane/vol low dose,09,J13
15327-02,Brachythrpy impl mult plane/vol low dose,10,K09
15327-02,Brachythrpy impl mult plane/vol low dose,11,L09
15327-02,Brachythrpy impl mult plane/vol low dose,12,M06
15327-02,Brachythrpy impl mult plane/vol low dose,13,N09
15327-03,Brachythrpy impl mult plane/vol pulsd ds,01,B06
15327-03,Brachythrpy impl mult plane/vol pulsd ds,01,B07
15327-03,Brachythrpy impl mult plane/vol pulsd ds,03,D12
15327-03,Brachythrpy impl mult plane/vol pulsd ds,04,E02
15327-03,Brachythrpy impl mult plane/vol pulsd ds,06,G12
15327-03,Brachythrpy impl mult plane/vol pulsd ds,09,J11
15327-03,Brachythrpy impl mult plane/vol pulsd ds,09,J12
15327-03,Brachythrpy impl mult plane/vol pulsd ds,09,J13
15327-03,Brachythrpy impl mult plane/vol pulsd ds,10,K09
15327-03,Brachythrpy impl mult plane/vol pulsd ds,11,L09
15327-03,Brachythrpy impl mult plane/vol pulsd ds,12,M06
15327-03,Brachythrpy impl mult plane/vol pulsd ds,13,N09
15327-04,Brachythrpy w perm impl 1 to 9 sources,01,B06
15327-04,Brachythrpy w perm impl 1 to 9 sources,01,B07
15327-04,Brachythrpy w perm impl 1 to 9 sources,03,D12
15327-04,Brachythrpy w perm impl 1 to 9 sources,04,E02
15327-04,Brachythrpy w perm impl 1 to 9 sources,06,G12
15327-04,Brachythrpy w perm impl 1 to 9 sources,09,J11
15327-04,Brachythrpy w perm impl 1 to 9 sources,09,J12
15327-04,Brachythrpy w perm impl 1 to 9 sources,09,J13
15327-04,Brachythrpy w perm impl 1 to 9 sources,10,K09
15327-04,Brachythrpy w perm impl 1 to 9 sources,11,L09
15327-04,Brachythrpy w perm impl 1 to 9 sources,12,M06
15327-04,Brachythrpy w perm impl 1 to 9 sources,13,N09
15327-05,Brachythrpy w perm impl >= 10 sources,01,B06
15327-05,Brachythrpy w perm impl >= 10 sources,01,B07
15327-05,Brachythrpy w perm impl >= 10 sources,03,D12
15327-05,Brachythrpy w perm impl >= 10 sources,04,E02
15327-05,Brachythrpy w perm impl >= 10 sources,06,G12
15327-05,Brachythrpy w perm impl >= 10 sources,09,J11
15327-05,Brachythrpy w perm impl >= 10 sources,09,J12
15327-05,Brachythrpy w perm impl >= 10 sources,09,J13
15327-05,Brachythrpy w perm impl >= 10 sources,10,K09
15327-05,Brachythrpy w perm impl >= 10 sources,11,L09
15327-05,Brachythrpy w perm impl >= 10 sources,12,M06
15327-05,Brachythrpy w perm impl >= 10 sources,13,N09
15327-06,Brachythrpy impl remv sgl plane high ds,01,B06
15327-06,Brachythrpy impl remv sgl plane high ds,01,B07
15327-06,Brachythrpy impl remv sgl plane high ds,03,D12
15327-06,Brachythrpy impl remv sgl plane high ds,04,E02
15327-06,Brachythrpy impl remv sgl plane high ds,06,G12
15327-06,Brachythrpy impl remv sgl plane high ds,09,J11
15327-06,Brachythrpy impl remv sgl plane high ds,10,K09
15327-06,Brachythrpy impl remv sgl plane high ds,11,L09
15327-06,Brachythrpy impl remv sgl plane high ds,12,M06
15327-06,Brachythrpy impl remv sgl plane high ds,13,N09
15327-07,Brachythrpy impl mult plane vol high ds,01,B06
15327-07,Brachythrpy impl mult plane vol high ds,01,B07
15327-07,Brachythrpy impl mult plane vol high ds,03,D12
15327-07,Brachythrpy impl mult plane vol high ds,04,E02
15327-07,Brachythrpy impl mult plane vol high ds,06,G12
15327-07,Brachythrpy impl mult plane vol high ds,09,J11
15327-07,Brachythrpy impl mult plane vol high ds,10,K09
15327-07,Brachythrpy impl mult plane vol high ds,11,L09
15327-07,Brachythrpy impl mult plane vol high ds,12,M06
15327-07,Brachythrpy impl mult plane vol high ds,13,N09
15338-00,"Brachythrpy, prostate",11,L09
15338-00,"Brachythrpy, prostate",12,M06
15360-00,"Brachytherapy, intravascular",01,B06
15360-00,"Brachytherapy, intravascular",01,B07
15360-00,"Brachytherapy, intravascular",03,D12
15360-00,"Brachytherapy, intravascular",04,E02
15360-00,"Brachytherapy, intravascular",06,G12
15360-00,"Brachytherapy, intravascular",09,J11
15360-00,"Brachytherapy, intravascular",10,K09
15360-00,"Brachytherapy, intravascular",11,L09
15360-00,"Brachytherapy, intravascular",12,M06
15360-00,"Brachytherapy, intravascular",13,N09
16511-00,Insertion of cervical suture,13,N09
16511-00,Insertion of cervical suture,21A,W03
16511-00,Insertion of cervical suture,21B,X06
16520-00,Elective classical caesarean section,14,O01
16520-01,Emergency classical caesarean section,14,O01
16520-02,Elective lower segment caesarean section,14,O01
16520-03,Emergency lower segment caesarean sect,14,O01
16520-04,Elective caesarean section NEC,14,O01
16520-05,Emergency caesarean section NEC,14,O01
18360-02,Administration agent into salivary gland,03,D14
18366-01,Admin agent extraocular musc for strabms,01,B06
18366-01,Admin agent extraocular musc for strabms,01,B07
18366-01,Admin agent extraocular musc for strabms,02,C01
18366-01,Admin agent extraocular musc for strabms,02,C10
30017-02,Debridement of burn,22,Y01
30017-02,Debridement of burn,22,Y03
30023-00,Debridement of soft tissue,01,B06
30023-00,Debridement of soft tissue,01,B07
30023-00,Debridement of soft tissue,02,C01
30023-00,Debridement of soft tissue,02,C11
30023-00,Debridement of soft tissue,03,D12
30023-00,Debridement of soft tissue,04,E02
30023-00,Debridement of soft tissue,05,F21
30023-00,Debridement of soft tissue,06,G12
30023-00,Debridement of soft tissue,07,H06
30023-00,Debridement of soft tissue,08,I12
30023-00,Debridement of soft tissue,08,I27
30023-00,Debridement of soft tissue,09,J08
30023-00,Debridement of soft tissue,09,J12
30023-00,Debridement of soft tissue,09,J13
30023-00,Debridement of soft tissue,10,K01
30023-00,Debridement of soft tissue,10,K09
30023-00,Debridement of soft tissue,11,L09
30023-00,Debridement of soft tissue,12,M06
30023-00,Debridement of soft tissue,13,N11
30023-00,Debridement of soft tissue,21A,W04
30023-00,Debridement of soft tissue,21B,X04
30023-00,Debridement of soft tissue,21B,X05
30023-00,Debridement of soft tissue,21B,X06
30023-01,Debride sft tis incl bone or cart,01,B06
30023-01,Debride sft tis incl bone or cart,01,B07
30023-01,Debride sft tis incl bone or cart,03,D12
30023-01,Debride sft tis incl bone or cart,05,F21
30023-01,Debride sft tis incl bone or cart,08,I12
30023-01,Debride sft tis incl bone or cart,08,I27
30023-01,Debride sft tis incl bone or cart,09,J08
30023-01,Debride sft tis incl bone or cart,09,J12
30023-01,Debride sft tis incl bone or cart,09,J13
30023-01,Debride sft tis incl bone or cart,10,K01
30023-01,Debride sft tis incl bone or cart,10,K09
30023-01,Debride sft tis incl bone or cart,21A,W04
30023-01,Debride sft tis incl bone or cart,21B,X04
30023-01,Debride sft tis incl bone or cart,21B,X05
30023-01,Debride sft tis incl bone or cart,21B,X06
30052-01,Repair of wound of eyelid,01,B06
30052-01,Repair of wound of eyelid,01,B07
30052-01,Repair of wound of eyelid,02,C01
30052-01,Repair of wound of eyelid,02,C11
30052-01,Repair of wound of eyelid,03,D12
30052-01,Repair of wound of eyelid,08,I12
30052-01,Repair of wound of eyelid,08,I17
30052-01,Repair of wound of eyelid,09,J10
30052-01,Repair of wound of eyelid,21A,W04
30052-01,Repair of wound of eyelid,21B,X06
30052-01,Repair of wound of eyelid,22,Y01
30052-01,Repair of wound of eyelid,22,Y03
30052-04,Closure of fistula of mouth,03,D14
30052-04,Closure of fistula of mouth,21A,W04
30052-04,Closure of fistula of mouth,21B,X06
30052-04,Closure of fistula of mouth,22,Y01
30052-04,Closure of fistula of mouth,22,Y03
30058-01,Control postoperative haemorrhage NEC,03,D12
30058-01,Control postoperative haemorrhage NEC,04,E01
30058-01,Control postoperative haemorrhage NEC,05,F21
30058-01,Control postoperative haemorrhage NEC,06,G12
30058-01,Control postoperative haemorrhage NEC,07,H06
30058-01,Control postoperative haemorrhage NEC,08,I12
30058-01,Control postoperative haemorrhage NEC,08,I28
30058-01,Control postoperative haemorrhage NEC,09,J11
30058-01,Control postoperative haemorrhage NEC,09,J12
30058-01,Control postoperative haemorrhage NEC,09,J13
30058-01,Control postoperative haemorrhage NEC,10,K01
30058-01,Control postoperative haemorrhage NEC,10,K09
30058-01,Control postoperative haemorrhage NEC,11,L09
30058-01,Control postoperative haemorrhage NEC,12,M06
30058-01,Control postoperative haemorrhage NEC,13,N11
30058-01,Control postoperative haemorrhage NEC,17,R01
30058-01,Control postoperative haemorrhage NEC,17,R02
30058-01,Control postoperative haemorrhage NEC,21A,W04
30058-01,Control postoperative haemorrhage NEC,21B,X04
30058-01,Control postoperative haemorrhage NEC,21B,X05
30058-01,Control postoperative haemorrhage NEC,21B,X06
30061-03,Removal of superficial FB from sclera,02,C01
30061-03,Removal of superficial FB from sclera,02,C12
30061-03,Removal of superficial FB from sclera,21A,W04
30061-03,Removal of superficial FB from sclera,21B,X06
30068-00,Removal FB in soft tissue NEC,01,B06
30068-00,Removal FB in soft tissue NEC,01,B07
30068-00,Removal FB in soft tissue NEC,08,I12
30068-00,Removal FB in soft tissue NEC,08,I27
30068-00,Removal FB in soft tissue NEC,09,J11
30068-00,Removal FB in soft tissue NEC,09,J12
30068-00,Removal FB in soft tissue NEC,09,J13
30068-00,Removal FB in soft tissue NEC,21A,W04
30068-00,Removal FB in soft tissue NEC,21B,X04
30068-00,Removal FB in soft tissue NEC,21B,X05
30068-00,Removal FB in soft tissue NEC,21B,X06
30071-02,Biopsy of eyelid,02,C01
30071-02,Biopsy of eyelid,02,C14
30071-02,Biopsy of eyelid,09,J11
30071-02,Biopsy of eyelid,21A,W04
30071-02,Biopsy of eyelid,21B,X06
30075-01,Biopsy of soft tissue,01,B06
30075-01,Biopsy of soft tissue,01,B07
30075-01,Biopsy of soft tissue,04,E02
30075-01,Biopsy of soft tissue,08,I12
30075-01,Biopsy of soft tissue,08,I27
30075-01,Biopsy of soft tissue,09,J11
30075-01,Biopsy of soft tissue,09,J12
30075-01,Biopsy of soft tissue,09,J13
30075-01,Biopsy of soft tissue,10,K09
30075-01,Biopsy of soft tissue,11,L09
30075-02,Biopsy of parathyroid glands,08,I12
30075-02,Biopsy of parathyroid glands,08,I28
30075-02,Biopsy of parathyroid glands,10,K05
30075-03,Biopsy of thyroid gland,10,K06
30075-04,Biopsy of adrenal gland,10,K03
30075-05,Biopsy pituitary gland transfrontal appr,01,B02
30075-05,Biopsy pituitary gland transfrontal appr,10,K02
30075-06,"Bx pituitary gland, transsphenoidal appr",01,B02
30075-06,"Bx pituitary gland, transsphenoidal appr",10,K02
30075-07,Biopsy of thymus,04,E01
30075-07,Biopsy of thymus,10,K09
30075-07,Biopsy of thymus,17,R01
30075-07,Biopsy of thymus,17,R02
30075-08,Biopsy of pineal gland,01,B02
30075-08,Biopsy of pineal gland,10,K02
30075-09,Biopsy of spleen,16,Q01
30075-09,Biopsy of spleen,17,R01
30075-09,Biopsy of spleen,17,R02
30075-10,Biopsy of bladder,11,L06
30075-10,Biopsy of bladder,12,M06
30075-10,Biopsy of bladder,13,N11
30075-10,Biopsy of bladder,17,R01
30075-10,Biopsy of bladder,17,R02
30075-12,Biopsy of stomach,06,G03
30075-13,Biopsy of small intestine,06,G05
30075-14,Biopsy of large intestine,06,G05
30075-15,Biopsy of gallbladder or bile duct,06,G12
30075-15,Biopsy of gallbladder or bile duct,07,H05
30075-16,Biopsy of pancreas,06,G12
30075-16,Biopsy of pancreas,07,H05
30075-16,Biopsy of pancreas,10,K09
30075-16,Biopsy of pancreas,17,R01
30075-16,Biopsy of pancreas,17,R02
30075-16,Biopsy of pancreas,21A,W03
30075-16,Biopsy of pancreas,21B,X06
30075-17,Biopsy of abdominal wall or umbilicus,06,G12
30075-17,Biopsy of abdominal wall or umbilicus,09,J11
30075-17,Biopsy of abdominal wall or umbilicus,17,R01
30075-17,Biopsy of abdominal wall or umbilicus,17,R02
30075-17,Biopsy of abdominal wall or umbilicus,21A,W03
30075-17,Biopsy of abdominal wall or umbilicus,21B,X06
30075-19,Biopsy of tongue,03,D14
30075-19,Biopsy of tongue,09,J11
30075-20,Biopsy of blood vessel,01,B06
30075-20,Biopsy of blood vessel,01,B07
30075-20,Biopsy of blood vessel,02,C01
30075-20,Biopsy of blood vessel,02,C14
30075-20,Biopsy of blood vessel,05,F07
30075-20,Biopsy of blood vessel,05,F14
30075-20,Biopsy of blood vessel,08,I12
30075-20,Biopsy of blood vessel,08,I28
30075-20,Biopsy of blood vessel,10,K09
30075-22,Biopsy of salivary gland or duct,03,D14
30075-24,Biopsy of soft palate,03,D14
30075-24,Biopsy of soft palate,09,J11
30075-25,Biopsy of tonsils or adenoids,03,D11
30075-27,Biopsy of penis,09,J11
30075-27,Biopsy of penis,12,M03
30075-29,Biopsy of middle ear,03,D12
30075-30,Biopsy of inner ear,03,D12
30075-32,Biopsy perirenal or perivesical tissue,11,L06
30075-32,Biopsy perirenal or perivesical tissue,12,M06
30075-32,Biopsy perirenal or perivesical tissue,17,R01
30075-32,Biopsy perirenal or perivesical tissue,17,R02
30075-32,Biopsy perirenal or perivesical tissue,21A,W03
30075-32,Biopsy perirenal or perivesical tissue,21B,X06
30075-33,Open biopsy of ureter,11,L03
30075-33,Open biopsy of ureter,11,L04
30075-35,Biopsy of lacrimal gland,02,C01
30075-35,Biopsy of lacrimal gland,02,C13
30075-35,Biopsy of lacrimal gland,21A,W04
30075-35,Biopsy of lacrimal gland,21B,X06
30075-37,Biopsy of peritoneum,05,F21
30075-37,Biopsy of peritoneum,06,G12
30075-37,Biopsy of peritoneum,07,H05
30075-37,Biopsy of peritoneum,09,J11
30075-37,Biopsy of peritoneum,10,K09
30075-37,Biopsy of peritoneum,11,L09
30075-37,Biopsy of peritoneum,12,M01
30075-37,Biopsy of peritoneum,13,N11
30075-37,Biopsy of peritoneum,17,R01
30075-37,Biopsy of peritoneum,17,R02
30075-37,Biopsy of peritoneum,21A,W03
30075-37,Biopsy of peritoneum,21B,X06
30075-37,Biopsy of peritoneum,22,Y01
30075-37,Biopsy of peritoneum,22,Y03
30075-38,Biopsy of perineum,01,B06
30075-38,Biopsy of perineum,01,B07
30075-38,Biopsy of perineum,04,E02
30075-38,Biopsy of perineum,08,I12
30075-38,Biopsy of perineum,08,I27
30075-38,Biopsy of perineum,09,J11
30075-38,Biopsy of perineum,09,J12
30075-38,Biopsy of perineum,09,J13
30075-38,Biopsy of perineum,10,K09
30075-38,Biopsy of perineum,11,L09
30093-00,Needle biopsy of vertebra,03,D12
30093-00,Needle biopsy of vertebra,08,I12
30093-00,Needle biopsy of vertebra,08,I25
30093-00,Needle biopsy of vertebra,09,J11
30093-00,Needle biopsy of vertebra,10,K09
30093-00,Needle biopsy of vertebra,11,L09
30093-00,Needle biopsy of vertebra,12,M06
30094-00,Perc [needle] biopsy of soft tissue,01,B06
30094-00,Perc [needle] biopsy of soft tissue,01,B07
30094-00,Perc [needle] biopsy of soft tissue,04,E02
30094-00,Perc [needle] biopsy of soft tissue,08,I12
30094-00,Perc [needle] biopsy of soft tissue,08,I27
30094-00,Perc [needle] biopsy of soft tissue,09,J11
30094-00,Perc [needle] biopsy of soft tissue,09,J12
30094-00,Perc [needle] biopsy of soft tissue,09,J13
30094-00,Perc [needle] biopsy of soft tissue,10,K09
30094-01,Perc [needle] bx of parathyroid glands,10,K40
30094-07,Percutaneous [needle] biopsy of testis,10,K09
30094-11,Perc [needle] biopsy of pineal gland,01,B02
30094-11,Perc [needle] biopsy of pineal gland,10,K02
30094-12,Perc [needle] biopsy of thymus gland,04,E01
30094-12,Perc [needle] biopsy of thymus gland,10,K09
30094-12,Perc [needle] biopsy of thymus gland,17,R01
30094-12,Perc [needle] biopsy of thymus gland,17,R02
30099-00,Excision of sinus of SSCT,09,J11
30103-00,Excision sinus inv soft tissue NEC,08,I12
30103-00,Excision sinus inv soft tissue NEC,08,I27
30103-00,Excision sinus inv soft tissue NEC,09,J11
30103-00,Excision sinus inv soft tissue NEC,09,J12
30103-00,Excision sinus inv soft tissue NEC,09,J13
30103-00,Excision sinus inv soft tissue NEC,21A,W04
30103-00,Excision sinus inv soft tissue NEC,21B,X04
30103-00,Excision sinus inv soft tissue NEC,21B,X05
30103-00,Excision sinus inv soft tissue NEC,21B,X06
30104-00,Excision of pre-auricular sinus,03,D12
30104-00,Excision of pre-auricular sinus,09,J11
30107-00,"Excision of ganglion, NEC",08,I12
30107-00,"Excision of ganglion, NEC",08,I27
30107-00,"Excision of ganglion, NEC",10,K09
30107-00,"Excision of ganglion, NEC",21A,W04
30107-00,"Excision of ganglion, NEC",21B,X04
30107-00,"Excision of ganglion, NEC",21B,X05
30107-00,"Excision of ganglion, NEC",21B,X06
30111-01,Excision of bursa,01,B06
30111-01,Excision of bursa,08,I12
30111-01,Excision of bursa,08,I27
30111-01,Excision of bursa,21A,W04
30111-01,Excision of bursa,21B,X04
30111-01,Excision of bursa,21B,X05
30111-01,Excision of bursa,21B,X06
30111-02,Arthroscopic excision of bursa,01,B06
30111-02,Arthroscopic excision of bursa,08,I12
30111-02,Arthroscopic excision of bursa,08,I27
30111-02,Arthroscopic excision of bursa,21A,W04
30111-02,Arthroscopic excision of bursa,21B,X04
30111-02,Arthroscopic excision of bursa,21B,X05
30111-02,Arthroscopic excision of bursa,21B,X06
30114-00,Excision of Baker's cyst,01,B06
30114-00,Excision of Baker's cyst,01,B07
30114-00,Excision of Baker's cyst,08,I12
30114-00,Excision of Baker's cyst,08,I27
30114-00,Excision of Baker's cyst,09,J11
30114-00,Excision of Baker's cyst,09,J12
30114-00,Excision of Baker's cyst,09,J13
30114-00,Excision of Baker's cyst,10,K09
30165-00,Lipectomy of abdominal apron,09,J10
30165-00,Lipectomy of abdominal apron,10,K13
30165-00,Lipectomy of abdominal apron,21A,W04
30165-00,Lipectomy of abdominal apron,21B,X04
30165-00,Lipectomy of abdominal apron,21B,X05
30165-00,Lipectomy of abdominal apron,21B,X06
30168-00,"Lipectomy, 1 excision",09,J10
30168-00,"Lipectomy, 1 excision",09,J12
30168-00,"Lipectomy, 1 excision",09,J13
30168-00,"Lipectomy, 1 excision",10,K13
30168-00,"Lipectomy, 1 excision",21A,W04
30168-00,"Lipectomy, 1 excision",21B,X04
30168-00,"Lipectomy, 1 excision",21B,X05
30168-00,"Lipectomy, 1 excision",21B,X06
30171-00,"Lipectomy, 2 or more excisions",09,J10
30171-00,"Lipectomy, 2 or more excisions",09,J12
30171-00,"Lipectomy, 2 or more excisions",09,J13
30171-00,"Lipectomy, 2 or more excisions",10,K13
30171-00,"Lipectomy, 2 or more excisions",21A,W04
30171-00,"Lipectomy, 2 or more excisions",21B,X04
30171-00,"Lipectomy, 2 or more excisions",21B,X05
30171-00,"Lipectomy, 2 or more excisions",21B,X06
30177-00,"Lipectomy of abdominal apron, radical",09,J10
30177-00,"Lipectomy of abdominal apron, radical",10,K13
30177-00,"Lipectomy of abdominal apron, radical",21A,W04
30177-00,"Lipectomy of abdominal apron, radical",21B,X04
