code,description,age_l,age_h,sex
B90.2,Sequelae of tuberculosis bones & joints,230,324,
B90.8,Sequelae of tuberculosis of other organs,230,324,
B90.9,Sequelae of respiratory & unspecified TB,230,324,
B91,Sequelae of poliomyelitis,215,324,
B92,Sequelae of leprosy,230,324,
B94.0,Sequelae of trachoma,201,324,
B94.1,Sequelae of viral encephalitis,201,324,
B94.2,Sequelae of viral hepatitis,201,324,
B94.8,Seq of other spec infect & parasitic dis,201,324,
B94.9,Seq of unsp infect & parasitic dis,201,324,
C58,Malignant neoplasm of placenta,210,260,FEML
C61,Malignant neoplasm of prostate,230,324,MALE
E11.01,Type 2 DM w hyperosmolarity wo NKHHC,215,324,
E11.02,Type 2 DM w hyperosmolarity with coma,215,324,
E11.11,"Type 2 DM w ketoacidosis, wo coma",215,324,
E11.12,"Type 2 DM w ketoacidosis, w coma",215,324,
E11.13,"Type 2 DM w lactic acidosis, wo coma",215,324,
E11.14,"Type 2 DM w lactic acidosis, w coma",215,324,
E11.15,Type 2 DM w keto lactic acidosis wo coma,215,324,
E11.16,Type 2 DM w keto lactic acidosis w coma,215,324,
E11.21,Type 2 DM w incipient diab nephropathy,215,324,
E11.22,Type 2 DM w est diab nephropathy,215,324,
E11.29,Type 2 DM w other spec kidney comp,215,324,
E11.31,Type 2 DM w background retinopathy,215,324,
E11.32,Type 2 DM w preproliferative retinopathy,215,324,
E11.33,Type 2 DM w proliferative retinopathy,215,324,
E11.34,Type 2 DM w other retinopathy,215,324,
E11.35,Type 2 DM w advanced ophthalmic dis,215,324,
E11.36,Type 2 DM w diabetic cataract,215,324,
E11.39,Type 2 DM w other spec ophthalmic comp,215,324,
E11.40,Type 2 DM w unspecified neuropathy,215,324,
E11.41,Type 2 DM w diabetic mononeuropathy,215,324,
E11.42,Type 2 DM w diabetic polyneuropathy,215,324,
E11.43,Type 2 DM w diab autonomic neuropathy,215,324,
E11.49,Type 2 DM w oth spec neurological comp,215,324,
E11.51,Type 2 DM w perph angiopathy wo gangr,215,324,
E11.52,Type 2 DM w perph angiopathy w gangr,215,324,
E11.53,Type 2 DM w diab cardiomyopathy,215,324,
E11.61,Type 2 DM w spec diab M/S con tis comp,215,324,
E11.62,Type 2 DM w spec skin & sbc tis comp,215,324,
E11.63,Type 2 DM w spec periodontal comp,215,324,
E11.64,Type 2 diabetes mellitus w hypoglycaemia,215,324,
E11.65,Type 2 diabetes mellitus w poor control,215,324,
E11.69,Type 2 DM w other specified complication,215,324,
E11.71,Type 2 DM w mult microvas oth nnvas comp,215,324,
E11.72,Type 2 DM w features insulin resistance,215,324,
E11.73,Type 2 DM w foot ulcer dt mult causes,215,324,
E11.8,Type 2 DM w unspecified complication,215,324,
E11.9,Type 2 diabetes mellitus wo complication,215,324,
E30.1,Precocious puberty,0,210,
E30.8,Other disorders of puberty,208,219,
E30.9,Disorder of puberty unspecified,208,219,
E55.0,Rickets active,0,219,
E56.1,Deficiency of vitamin K,101,324,
E63.0,Essential fatty acid [EFA] deficiency,101,324,
E63.1,Imbalance of constituents of food intake,101,324,
E63.8,Other specified nutritional deficiencies,101,324,
E63.9,Nutritional deficiency unspecified,101,324,
E64.0,Sequelae of protein-energy malnutrition,101,324,
E64.1,Sequelae of vitamin A deficiency,101,324,
E64.2,Sequelae of vitamin C deficiency,101,324,
E64.3,Sequelae of rickets,101,324,
E64.8,Sequelae other nutritional deficiencies,101,324,
E64.9,Sequelae unsp nutritional deficiency,101,324,
E65,Localised adiposity,101,324,
E66.10,Drug-ind obesity BMI NEC,101,324,
E66.11,Drug-ind obesity BMI 30 to 34.99,218,324,
E66.12,Drug-ind obesity BMI 35 to 39.99,218,324,
E66.13,Drug-ind obesity BMI 40 or more,218,324,
E66.20,Obesity w alv hypovent BMI NEC,101,324,
E66.21,Obesity w alv hypovent BMI 30 to 34.99,218,324,
E66.22,Obesity w alv hypovent BMI 35 to 39.99,218,324,
E66.23,Obesity w alv hypovent BMI 40 or more,218,324,
E66.3,Overweight,101,324,
E66.90,Obesity NEC BMI NEC,101,324,
E66.91,Obesity NEC BMI 30 to 34.99,218,324,
E66.92,Obesity NEC BMI 35 to 39.99,218,324,
E66.93,Obesity NEC BMI 40 or more,218,324,
E67.0,Hypervitaminosis A,101,324,
E67.1,Hypercarotenaemia,101,324,
E67.2,Megavitamin-B6 syndrome,101,324,
E67.3,Hypervitaminosis D,101,324,
E67.8,Other specified hyperalimentation,101,324,
E68,Sequelae of hyperalimentation,101,324,
F01.00,Vascular demnt of acute onset wo BPSD,215,324,
F01.01,Vascular demnt of acute onset w BPSD,215,324,
F01.10,Multi-infarct dementia wo BPSD,215,324,
F01.11,Multi-infarct dementia w BPSD,215,324,
F01.20,Subcortical vascular dementia wo BPSD,215,324,
F01.21,Subcortical vascular demnt w BPSD,215,324,
F01.30,Mixed vasc demnt wo BPSD,215,324,
F01.31,Cortical & subcortical vasc demnt w BPSD,215,324,
F01.80,Other vascular dementia wo BPSD,215,324,
F01.81,Other vascular dementia w BPSD,215,324,
F01.90,Vascular dementia unsp wo BPSD,215,324,
F01.91,Vascular dementia unsp w BPSD,215,324,
F03.00,Unspecified dementia wo BPSD,215,324,
F03.01,Unspecified dementia w BPSD,215,324,
F32.01,Mild depres ep in postnatal period,210,260,
F32.11,Mod depres ep in postnatal period,210,260,
F32.21,Sev depres ep wo psych sym in postnatal,210,260,
F32.31,Sev depres ep w psych sym in postnatal,210,260,
F32.81,Other depres ep in postnatal period,210,260,
F32.91,Depres ep unsp in the postnatal period,210,260,
F52.4,Premature ejaculation,215,324,MALE
F52.5,Nonorganic vaginismus,215,324,FEML
F52.6,Nonorganic dyspareunia,215,324,
F53.0,Mild ment & beh disrd ass w puerp NEC,210,260,
F53.1,Sev ment & beh disrd ass w puerp NEC,210,260,
F53.8,Oth ment & beh disrd ass w puerp NEC,210,260,
F53.9,Puerperal mental disorder unspecified,210,260,
F80.0,Specific speech articulation disorder,201,324,
F80.1,Expressive language disorder,201,324,
F80.2,Receptive language disorder,201,324,
F80.3,Acquired aphasia with epilepsy,201,324,
F80.8,Oth development disrd speech & language,201,324,
F80.9,Development disrd speech & language unsp,201,324,
F81.0,Specific reading disorder,201,324,
F81.1,Specific spelling disorder,201,324,
F81.2,Specific disorder of arithmetical skills,201,324,
F81.3,Mixed disorder of scholastic skills,201,324,
F81.8,Oth development disrd scholastic skills,201,324,
F81.9,Development disrd scholastic skills unsp,201,324,
F82,Spec development disorder motor function,201,324,
F83,Mixed specific developmental disorders,201,324,
F88,Oth disorders psychological development,201,324,
F89,Unsp disorder psychological development,201,324,
G12.2,Motor neuron disease,215,324,
G20,Parkinson's disease,215,324,
G25.8,Oth spec extrapyramidal & movement disrd,215,324,
G25.9,Extrapyramidal & movement disorder unsp,215,324,
G30.1,Alzheimer's disease with late onset,230,324,
G30.8,Other Alzheimer's disease,215,324,
G30.9,Alzheimer's disease unspecified,215,324,
G31.0,Circumscribed brain atrophy,215,324,
G31.1,Senile degeneration of brain NEC,215,324,
G31.2,Degeneration nervous system dt alcohol,215,324,
G31.9,Degenerative disease nervous system unsp,215,324,
G32.0,Subac cmb degen spinal cord in dis cl/e,215,324,
G32.8,Oth spec degen disrd nrvs sys dis cl/e,215,324,
G35,Multiple sclerosis,215,324,
G47.30,"Sleep apnoea, unspecified",201,324,
G47.31,Central sleep apnoea syndrome,201,324,
G47.32,Obstructive sleep apnoea syndrome [OSAS],201,324,
G47.33,Sleep hypoventilation syndrome,201,324,
G47.39,Other sleep apnoea,201,324,
G93.7,Reye's syndrome,0,219,
H25.0,Senile incipient cataract,230,324,
H25.1,Senile nuclear cataract,230,324,
H25.2,Senile cataract morgagnian type,230,324,
H25.8,Other senile cataract,230,324,
H25.9,Senile cataract unspecified,230,324,
H40.0,Glaucoma suspect,201,324,
H40.1,Primary open-angle glaucoma,201,324,
H40.2,Primary angle-closure glaucoma,201,324,
H40.3,Glaucoma secondary to eye trauma,201,324,
H40.4,Glaucoma secondary to eye inflammation,201,324,
H40.5,Glaucoma secondary to oth eye disorders,201,324,
H40.6,Glaucoma secondary to drugs,201,324,
H40.8,Other glaucoma,201,324,
H40.9,Glaucoma unspecified,201,324,
H42.0,Glaucoma in endocrine nutrit metab dis,201,324,
H42.8,Glaucoma in oth diseases class elsewhere,201,324,
I09.0,Rheumatic myocarditis,201,324,
I09.1,Rheumatic dis endocardium unsp valve,201,324,
I09.2,Chronic rheumatic pericarditis,201,324,
I09.8,Other specified rheumatic heart diseases,201,324,
I09.9,Rheumatic heart disease unspecified,201,324,
I10,Essential (primary) hypertension,215,324,
I11.0,Hypertensive heart dis w heart failure,215,324,
I11.9,Hypertensive heart dis wo heart failure,215,324,
I12.0,Hypertensive kidney dis w kidney failure,215,324,
I12.9,H/T kidney dis wo kidney failure,215,324,
I13.0,H/T heart & kidney dis w heart failure,215,324,
I13.1,H/T heart & kidney dis w kidney failure,215,324,
I13.2,H/T hrt & kidney dis w hrt kidney fail,215,324,
I13.9,Hypertensive heart & kidney disease unsp,215,324,
I15.0,Renovascular hypertension,215,324,
I15.1,Hypertension sec to oth kidney disorder,215,324,
I15.2,Hypertension sec to endocrine disorders,215,324,
I15.8,Other secondary hypertension,215,324,
I15.9,Secondary hypertension unspecified,215,324,
I20.0,Unstable angina,215,324,
I20.1,Angina pectoris with documented spasm,215,324,
I20.8,Other forms of angina pectoris,215,324,
I20.9,Angina pectoris unspecified,215,324,
I21.0,Acute transmural MI of anterior wall,215,324,
I21.1,Acute transmural MI of inferior wall,215,324,
I21.2,Acute transmural MI of other sites,215,324,
I21.3,Acute transmural MI of unspecified site,215,324,
I21.4,Acute subendocardial MI,215,324,
I21.9,Acute myocardial infarction unspecified,215,324,
I22.0,Subsequent MI of anterior wall,215,324,
I22.1,Subsequent MI of inferior wall,215,324,
I22.8,Subsequent MI of other sites,215,324,
I22.9,Subsequent MI of unspecified site,215,324,
I23.0,Haemopericardium current comp foll ac MI,215,324,
I23.1,ASD as current comp following acute MI,215,324,
I23.2,VSD as current comp following acute MI,215,324,
I23.3,Rupt card wall wo hemopericrd foll ac MI,215,324,
I23.4,Rupt chordae tendineae comp foll ac MI,215,324,
I23.5,Rupt papillary muscle comp foll ac MI,215,324,
I23.6,Atrl thromb auric append ventric w ac MI,215,324,
I23.8,Other current complication foll acute MI,215,324,
I24.0,Coronary thrombosis not resulting in MI,215,324,
I24.8,Other forms of acute IHD,215,324,
I24.9,Acute ischaemic heart disease unsp,215,324,
I25.0,Atherosclerotic C-V disease so described,215,324,
I25.10,Atherosclerotic heart dis unsp vessel,215,324,
I25.11,Atheroscl heart dis native coron artery,215,324,
I25.12,Atheroscl heart dis autolgs byps graft,215,324,
I25.13,Atheroscl heart dis nonautolgs byps gft,215,324,
I25.2,Old myocardial infarction,215,324,
I25.3,Aneurysm of heart,215,324,
I25.4,Coronary artery aneurysm and dissection,215,324,
I25.5,Ischaemic cardiomyopathy,215,324,
I25.6,Silent myocardial ischaemia,215,324,
I25.8,Other forms of chronic IHD,215,324,
I25.9,Chronic IHD unspecified,215,324,
I26.0,Pulm embolism w acute cor pulmonale,201,324,
I27.0,Primary pulmonary hypertension,201,324,
I27.1,Kyphoscoliotic heart disease,201,324,
I70.0,Atherosclerosis of aorta,215,324,
I70.1,Atherosclerosis of renal artery,215,324,
I70.20,Atherosclerosis of art of extrem unsp,215,324,
I70.21,Atheroscl artery extrem w intermit claud,215,324,
I70.22,Atheroscl artery extrem w rest pain,215,324,
I70.23,Atherosclerosis artery extremity w ulcer,215,324,
I70.24,Atherosclerosis artery extrem w gangrene,215,324,
I70.8,Atherosclerosis of other arteries,215,324,
I70.9,Genl & unspecified atherosclerosis,215,324,
I83.0,Varicose veins lower extremities w ulcer,215,324,
I83.1,Varicose veins low extrem w inflammation,215,324,
I83.2,Varicose veins legs w ulcer & inflam,215,324,
I83.9,Varicose veins legs wo ulcer & inflam,215,324,
I97.2,Postmastectomy lymphoedema syndrome,215,324,
I98.2,Oesoph varices wo bleed in dis cl/e,215,324,
I98.3,Oesoph varices w bleeding in dis cl/e,215,324,
J37.0,Chronic laryngitis,201,324,
J37.1,Chronic laryngotracheitis,201,324,
J41.0,Simple chronic bronchitis,215,324,
J41.1,Mucopurulent chronic bronchitis,215,324,
J41.8,Mx simple & mucopurulent chr bronchitis,215,324,
J42,Unspecified chronic bronchitis,215,324,
J43.0,MacLeod's syndrome,201,324,
J43.1,Panlobular emphysema,201,324,
J43.2,Centrilobular emphysema,201,324,
J43.8,Other emphysema,201,324,
J43.9,Emphysema unspecified,201,324,
J44.0,COPD with acute lower resp infection,201,324,
J44.1,COPD with acute exacerbation unspecified,201,324,
J44.8,Other specified COPD,201,324,
J44.9,COPD unspecified,215,324,
J60,Coalworker's pneumoconiosis,215,324,
J61,Pneumoconiosis dt asbestos & minrl fibre,215,324,
J62.0,Pneumoconiosis due to talc dust,215,324,
J62.8,Pneumoconiosis dt oth dust contn silica,215,324,
J63.0,Aluminosis (of lung),215,324,
J63.1,Bauxite fibrosis (of lung),215,324,
J63.2,Berylliosis,215,324,
J63.3,Graphite fibrosis (of lung),215,324,
J63.4,Siderosis,215,324,
J63.5,Stannosis,215,324,
J63.8,Pneumoconiosis dt oth spec inorgnc dusts,215,324,
J64,Unspecified pneumoconiosis,215,324,
J65,Pneumoconiosis ass with tuberculosis,215,324,
J66.0,Byssinosis,215,324,
J66.1,Flax-dresser's disease,215,324,
J66.2,Cannabinosis,215,324,
J66.8,Airway disease dt oth spec organic dusts,215,324,
J67.0,Farmer's lung,215,324,
J67.1,Bagassosis,215,324,
J67.2,Bird fancier's lung,215,324,
J67.3,Suberosis,215,324,
J67.4,Maltworker's lung,215,324,
J67.5,Mushroom-worker's lung,215,324,
J67.6,Maple-bark-stripper's lung,215,324,
J67.7,Air-conditioner and humidifier lung,215,324,
J67.8,Hypersens pneumonitis dt oth orgnc dust,215,324,
J67.9,Hypersens pneumonitis dt unsp orgnc dust,215,324,
J80,Acute respiratory distress syndrome,101,324,
J84.0,Alveolar and parietoalveolar conditions,215,324,
J84.1,Oth interstitial pulm dis w fibrosis,215,324,
J84.8,Oth spec interstitial pulmonary diseases,215,324,
J84.9,Interstitial pulmonary disease unsp,215,324,
K00.0,Anodontia,201,324,
K00.1,Supernumerary teeth,201,324,
K00.2,Abnormalities of size and form of teeth,201,324,
K00.3,Mottled teeth,201,324,
K00.4,Disturbances in tooth formation,201,324,
K00.5,Hereditary disturb tooth structure NEC,201,324,
K00.6,Disturbances in tooth eruption,201,324,
K00.7,Teething syndrome,201,324,
K00.8,Other disorders of tooth development,201,324,
K00.9,Disorder tooth development unsp,201,324,
K01.0,Embedded teeth,201,324,
K01.1,Impacted teeth,201,324,
K02.0,Caries limited to enamel,201,324,
K02.1,Caries of dentine,201,324,
K02.2,Caries of cementum,201,324,
K02.3,Arrested dental caries,201,324,
K02.4,Odontoclasia,201,324,
K02.8,Other dental caries,201,324,
K02.9,Dental caries unspecified,201,324,
K03.0,Excessive attrition of teeth,201,324,
K03.1,Abrasion of teeth,201,324,
K03.2,Erosion of teeth,201,324,
K03.3,Pathological resorption of teeth,201,324,
K03.4,Hypercementosis,201,324,
K03.5,Ankylosis of teeth,201,324,
K03.6,Deposits [accretions] on teeth,201,324,
K03.7,Posterupt colour change dental hard tis,201,324,
K03.8,Other spec disease hard tissues of teeth,201,324,
K03.9,Disease hard tissues of teeth unsp,201,324,
K04.0,Pulpitis,201,324,
K04.1,Necrosis of pulp,201,324,
K04.2,Pulp degeneration,201,324,
K04.3,Abnormal hard tissue formation in pulp,201,324,
K04.4,Acute apical periodontitis pulpal origin,201,324,
K04.5,Chronic apical periodontitis,201,324,
K04.6,Periapical abscess with sinus,201,324,
K04.7,Periapical abscess without sinus,201,324,
K04.8,Radicular cyst,201,324,
K04.9,Other & unsp dis pulp & periapical tis,201,324,
K05.0,Acute gingivitis,101,324,
K05.1,Chronic gingivitis,101,324,
K05.2,Acute periodontitis,101,324,
K05.3,Chronic periodontitis,101,324,
K05.4,Periodontosis,101,324,
K05.5,Other periodontal diseases,101,324,
K05.6,Periodontal disease unspecified,101,324,
K06.0,Gingival recession,101,324,
K06.1,Gingival enlargement,101,324,
K06.2,Traum gingivl edentulous alv rdge lesion,101,324,
K06.8,Oth spec disrd gingiva edentul alv rdge,101,324,
K06.9,Disrd gingiva & edentulous alv rdge unsp,101,324,
K07.00,Major anomaly of jaw size unspecified,201,324,
K07.01,Hypoplasia of maxilla,201,324,
K07.02,Hyperplasia of maxilla,201,324,
K07.03,Hypoplasia of mandible,201,324,
K07.04,Hyperplasia of mandible,201,324,
K07.09,Other major anomalies of jaw size,201,324,
K07.1,Anomalies jaw-cranial base relationship,201,324,
K07.2,Anomalies of dental arch relationship,201,324,
K07.3,Anomalies of tooth position,201,324,
K07.4,Malocclusion unspecified,201,324,
K07.5,Dentofacial functional abnormalities,201,324,
K07.6,Temporomandibular joint disorders,201,324,
K07.8,Other dentofacial anomalies,201,324,
K07.9,Dentofacial anomaly unspecified,201,324,
K08.0,Exfoliation teeth due to systemic causes,201,324,
K08.1,Loss teeth dt acdt extr perid dis,201,324,
K08.2,Atrophy of edentulous alveolar ridge,201,324,
K08.3,Retained dental root,201,324,
K08.81,Pathological fracture of tooth,201,324,
K08.88,Oth spec disrd teeth & support structure,201,324,
K08.9,Disorder teeth & support structure unsp,201,324,
K22.0,Achalasia of cardia,201,324,
K22.2,Oesophageal obstruction,201,324,
K22.9,Disease of oesophagus unspecified,201,324,
K25.0,Gastric ulcer acute with haemorrhage,215,324,
K25.1,Gastric ulcer acute with perforation,215,324,
K25.2,Acute gastric ulcer w haem & perforation,215,324,
K25.3,Acute gastric ulcer without haem or perf,215,324,
K25.4,Chronic or unsp gastric ulcer w haem,215,324,
K25.5,Chronic or unsp gastric ulcer w perf,215,324,
K25.6,Chr or unsp gastrc ulcer w haem & perf,215,324,
K25.7,Chronic gastric ulcer wo haem or perf,215,324,
K25.9,Gastrc ulcer ? ac / chr wo haem / perf,215,324,
K26.0,Duodenal ulcer acute with haemorrhage,215,324,
K26.1,Duodenal ulcer acute with perforation,215,324,
K26.2,Acute duodenal ulcer w haem & perf,215,324,
K26.3,Acute duodenal ulcer wo haem or perf,215,324,
K26.4,Chronic or unsp duodenal ulcer w haem,215,324,
K26.5,Chronic or unsp duodenal ulcer w perf,215,324,
K26.6,Duodenal ulcer chr / unsp w haem & perf,215,324,
K26.7,Chronic duodenal ulcer wo haem or perf,215,324,
K26.9,Duodenal ulcer unsp wo haem or perf,215,324,
K27.0,Peptic ulcer acute with haemorrhage,215,324,
K27.1,Peptic ulcer acute with perforation,215,324,
K27.2,Acute peptic ulcer with haem & perf,215,324,
K27.3,Acute peptic ulcer without haem or perf,215,324,
K27.4,Chronic or unsp peptic ulcer w haem,215,324,
K27.5,Chronic or unsp peptic ulcer w perf,215,324,
K27.6,Chr or unsp peptic ulcer w haem & perf,215,324,
K27.7,Chronic peptic ulcer wo haem or perf,215,324,
K27.9,Peptic ulcer ? ac / chr wo haem or perf,215,324,
K28.0,Acute gastrojejunal ulcer w haemorrhage,215,324,
K28.1,Acute gastrojejunal ulcer w perforation,215,324,
K28.2,Acute gastrojejunal ulcer w haem & perf,215,324,
K28.3,Acute gastrojejunal ulcer wo haem / perf,215,324,
K28.4,Gastrojejunal ulcer chr or unsp w haem,215,324,
K28.5,Gastrojejunal ulcer chr or unsp w perf,215,324,
K28.6,Gastjejnl ulcer chr / unsp w haem & perf,215,324,
K28.7,Gastrojejunal ulcer chr wo haem or perf,215,324,
K28.9,Gastjejnl ulcr ? ac / chr wo haem / perf,215,324,
K64.0,First degree haemorrhoids,215,324,
K64.1,Second degree haemorrhoids,215,324,
K64.2,Third degree haemorrhoids,215,324,
K64.3,Fourth degree haemorrhoids,215,324,
K64.4,Residual haemorrhoidal skin tags,215,324,
K64.5,Perianal venous thrombosis,215,324,
K64.8,Other specified haemorrhoids,215,324,
K64.9,"Haemorrhoids, unspecified",215,324,
K70.0,Alcoholic fatty liver,215,324,
K70.1,Alcoholic hepatitis,215,324,
K70.2,Alcoholic fibrosis & sclerosis of liver,215,324,
K70.3,Alcoholic cirrhosis of liver,215,324,
K70.4,Alcoholic hepatic failure,215,324,
K70.9,Alcoholic liver disease unspecified,215,324,
K73.0,Chronic persistent hepatitis NEC,201,324,
K73.1,Chronic lobular hepatitis NEC,201,324,
K73.2,Chronic active hepatitis NEC,201,324,
K73.8,Other chronic hepatitis NEC,201,324,
K73.9,Chronic hepatitis unspecified,201,324,
K76.0,Fatty (change of) liver NEC,201,324,
K80.00,Calculus gallb w ac cholecystitis wo obs,215,324,
K80.01,Calculus gallb w ac cholecystitis w obs,215,324,
K80.10,Calc gallb w oth cholecystitis wo obs,215,324,
K80.11,Calc gallb w oth cholecystitis w obs,215,324,
K80.20,Calc gallb wo cholecystitis wo obs,215,324,
K80.21,Calc gallb wo cholecystitis with obs,215,324,
K80.30,Calculus bile duct w cholangitis wo obs,215,324,
K80.31,Calculus bile duct w cholangitis w obs,215,324,
K80.40,Calc bile duct w cholecystitis wo obs,215,324,
K80.41,Calc bile duct w cholecystitis w obs,215,324,
K80.50,Calc bile dct wo cholang cholcys obs,215,324,
K80.51,Calc bile dct wo cholang cholcys w obs,215,324,
K80.80,Other cholelithiasis without obstruction,215,324,
K80.81,Other cholelithiasis with obstruction,215,324,
K81.0,Acute cholecystitis,215,324,
K81.1,Chronic cholecystitis,215,324,
K81.8,Other cholecystitis,215,324,
K81.9,Cholecystitis unspecified,215,324,
K82.0,Obstruction of gallbladder,215,324,
K82.1,Hydrops of gallbladder,215,324,
K82.2,Perforation of gallbladder,215,324,
K82.3,Fistula of gallbladder,215,324,
K82.4,Cholesterolosis of gallbladder,215,324,
K82.8,Other specified diseases of gallbladder,215,324,
K82.9,Disease of gallbladder unspecified,215,324,
K83.0,Cholangitis,215,324,
K83.1,Obstruction of bile duct,215,324,
K83.2,Perforation of bile duct,215,324,
K83.3,Fistula of bile duct,215,324,
K83.4,Spasm of sphincter of Oddi,215,324,
K83.5,Biliary cyst,215,324,
K83.8,Other spec diseases biliary tract,215,324,
K83.9,Disease of biliary tract unspecified,215,324,
K85.0,Idiopathic acute pancreatitis,215,324,
K85.1,Biliary acute pancreatitis,215,324,
K85.2,Alcohol-induced acute pancreatitis,215,324,
K85.3,Drug-induced acute pancreatitis,215,324,
K85.8,Other acute pancreatitis,215,324,
K85.9,"Acute pancreatitis, unspecified",215,324,
K86.0,Alcohol-induced chronic pancreatitis,215,324,
K86.1,Other chronic pancreatitis,215,324,
K86.2,Cyst of pancreas,215,324,
K86.3,Pseudocyst of pancreas,215,324,
K86.8,Other specified diseases of pancreas,215,324,
K86.9,Disease of pancreas unspecified,215,324,
K87.0,Disrd gallb & biliary tract in dis cl/e,215,324,
K87.1,Disrd pancreas in dis class elsewhere,215,324,
K91.5,Postcholecystectomy syndrome,215,324,
K92.1,Melaena,101,324,
L21.1,Seborrhoeic infantile dermatitis,0,219,
M02.30,Arthrpthy foll GU infectn multiple sites,215,324,
M02.31,Arthrpthy foll GU infectn shold region,215,324,
M02.32,Arthrpthy foll GU infectn upper arm,215,324,
M02.33,Arthropathy foll GU infectn forearm,215,324,
M02.34,Arthropathy following GU infection hand,215,324,
M02.35,Arthrpthy foll GU infectn pelv reg thigh,215,324,
M02.36,Arthropathy foll GU infectn lower leg,215,324,
M02.37,Arthrpthy foll GU infectn ankle and foot,215,324,
M02.38,Arthropathy following GU infection other,215,324,
M02.39,Arthropathy foll GU infection site unsp,215,324,
M05.10,Rheumatoid lung disease multiple sites,215,324,
M05.11,Rheumatoid lung disease shoulder region,215,324,
M05.12,Rheumatoid lung disease upper arm,215,324,
M05.13,Rheumatoid lung disease forearm,215,324,
M05.14,Rheumatoid lung disease hand,215,324,
M05.15,Rheumatoid lung dis pelvic region thigh,215,324,
M05.16,Rheumatoid lung disease lower leg,215,324,
M05.17,Rheumatoid lung disease ankle and foot,215,324,
M05.18,Rheumatoid lung disease other,215,324,
M05.19,Rheumatoid lung disease site unsp,215,324,
M05.20,Rheumatoid vasculitis multiple sites,215,324,
M05.21,Rheumatoid vasculitis shoulder region,215,324,
M05.22,Rheumatoid vasculitis upper arm,215,324,
M05.23,Rheumatoid vasculitis forearm,215,324,
M05.24,Rheumatoid vasculitis hand,215,324,
M05.25,Rheumatoid vasculitis pelvic region thgh,215,324,
M05.26,Rheumatoid vasculitis lower leg,215,324,
M05.27,Rheumatoid vasculitis ankle and foot,215,324,
M05.28,Rheumatoid vasculitis other,215,324,
M05.29,Rheumatoid vasculitis site unspecified,215,324,
M05.30,Rheum arthr inv oth org & sys mult sites,215,324,
M05.31,Rheum arthr inv oth organ & sys shoulder,215,324,
M05.32,Rheum arthr inv oth org & sys upper arm,215,324,
M05.33,Rheum arthr inv oth organs & sys forearm,215,324,
M05.34,Rheum arthr inv oth organs & system hand,215,324,
